选手码,大众评分员,欣赏性,创新性,设计性,游戏性,附加分,扣分
A,无视我233,8,7,8,7,4,0
A,1168438795,6,8,8,7,3,0
A,马里奥奥里马,8,7,7,8,3,0
A,Fahlee,8,6,8,8,3,0
A,玛丽的死对头,8,6,6,7,4,0
D,无视我233,10,10,10,6,5,0
D,1168438795,9,10,10,6,5,0
D,马里奥奥里马,7,10,9,6,3,0
D,Fahlee,7,10,10,7,5,0
D,玛丽的死对头,10,10,8,7,5,0
F,无视我233,7,8,8,8,4,0
F,1168438795,9,6,7,8,3,0
F,马里奥奥里马,9,7,7,8,2,0
F,Fahlee,8,8,8,8,3,0
F,玛丽的死对头,9,8,7,8,4,0
B,无视我233,10,9,7,9,5,0
B,1168438795,8,9,8,8,2,0
B,马里奥奥里马,10,9,9,8,3,0
B,Fahlee,10,8,8,7,3,0
B,玛丽的死对头,10,8,8,7,5,0
B,有名氏,10,9,10,8,5,0
C,无视我233,8,9,8,9,5,0
C,1168438795,7,6,6,7,2,0
C,马里奥奥里马,9,6,7,7,3,0
C,Fahlee,7,6,7,7,2,0
C,玛丽的死对头,8,6,6,5,4,0
C,有名氏,8,9,8,8,5,0
G,无视我233,10,9,10,6,4,0
G,1168438795,8,9,10,8,4,0
G,马里奥奥里马,8,8,7,7,2,0
G,Fahlee,7,9,10,9,4,0
G,玛丽的死对头,10,9,8,6,4,0
G,有名氏,9,9,9,7,5,0
